,index_party,sent
10,10,"Zukunft ist aber nichts, was uns einfach widerfährt."
11,11,"Sie, liebe Wähler*innen, können mit Ihrer Stimme selbst entscheiden, welche Richtung sie nimmt."
12,12,"Wir, BÜNDNIS 90 / DIE GRÜNEN, legen mit diesem Programm unser inhaltliches Angebot an Sie vor."
13,13,Wir tun dies in einer Zeit des globalen Ausnahmezustands.
14,14,Die Pandemie hat uns alle bis ins Mark getroffen.
15,15,"Sie hat im Guten gezeigt, zu welcher Gemeinsamkeit, Innovationskraft und Widerstandsfähigkeit wir Menschen erreichen können."
16,16,"Sie hat aber auch die Schwachstellen unserer Gesellschaft schonungslos offengelegt, und das in einer ohnehin verwundbaren Welt."
17,17,"Die globalen Krisen dieser Zeit – zuallererst die Klimakrise als wahre Menschheitskrise – wirken in unser aller Leben hinein und gefährden Freiheit, Sicherheit und Wohlstand."
18,18,"Wir haben aber die Wahl: Wir können entscheiden, ob uns die Krisen über den Kopf wachsen oder wir über sie hinaus."
19,19,"Die Erfahrungen in der Pandemie zeigen, dass wir Krisen in gemeinsamer Kraftanstrengung bewältigen können."
20,20,"Durch die Solidarität, mit der unsere Gesellschaft den Verletzlichsten den stärksten Schutz gegeben hat."
21,21,"Durch Rücksichtnahme, die so viele Menschen an den Tag legen."
22,22,Durch Wissenschaft und Fortschritt.
23,23,"Täglich wachsen in der Pandemie Menschen über sich hinaus – im Krankenhaus, im Altersheim, im Supermarkt, im Labor, Kinder, Eltern und Lehrkräfte im Distanzunterricht, Jugendliche allein zu Hause, Selbständige, die größte Anpassungsfähigkeit zeigen."
24,24,"Jetzt ist es Zeit, dass die Politik über sich hinauswächst."
25,25,Wir können aus Fehlern lernen.
26,26,"Wir haben erlebt, wie fragil der Status quo ist, wie zerbrechlich eine rein auf Profit ausgerichtete Wirtschaft, aber auch, welche Bedeutung Grundrechte haben und wie stark unsere Gesellschaft ist."
27,27,"Wir haben erfahren, wie begrenzt nationale Antworten auf globale Fragen sind, gesehen, wie viel Unsicherheit entsteht, wenn man nur auf Sicht fährt, und wie notwendig eine Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN 9  Politik mit Weitblick und für Frieden ist."
28,28,"Je besser wir vorsorgen, je widerstandsfähiger wir werden, je besser wir schützen, umso freier können wir leben."
29,29,Als Gesellschaft haben wir den Schlüssel für so vieles schon in der Hand.
30,30,"Wir wissen, wie man eine Industriegesellschaft sicher ins Zeitalter der Klimaneutralität führt."
31,31,"Wie man dafür den Kohleausstieg beschleunigt und Versorgungssicherheit gewährleistet, wie viel mehr Strom aus Wind und Sonne gewonnen werden kann und der Natur- Einleitung schutz gestärkt wird."
32,32,"Wir wissen, wie man eine sozial-ökologische Marktwirtschaft entwickelt, die zukunftsfähige Jobs, sozialen Schutz und fairen Wettbewerb in Deutschland und Europa zusammenbringt, wie man der Globalisierung klare Regeln setzt und multinationale Konzerne angemessen besteuert."
33,33,"Wir wissen, wie wir in eine starke Gesundheitsversorgung und eine moderne Infrastruktur, in gute Schulen und öffentliche Räume, in einen gut funktionierenden und bürger*innennahen Staat investieren können."
34,34,"Es ist möglich, Ungleichheit zu verringern, gleichwertige Lebensverhältnisse auf dem Dorf, in der Kleinstadt und in der Metropole herzustellen und Kinder ins Zentrum zu rücken."
35,35,Wir können eine volle Gleichberechtigung der Geschlechter erreichen und eine vielfältige Einwanderungsgesellschaft gestalten.
36,36,"Wir sind in der Lage und fest entschlossen, Europa als Wertegemeinschaft demokratisch zu stärken und im globalen Systemwettbewerb gerechter und handlungsfähiger zu machen."
37,37,"Das lässt sich mit internationaler Solidarität meistern und wenn wir unsere Art, zu leben und zu wirtschaften, so gestalten, dass wir Krisen an anderen Orten der Welt nicht verschärfen."
38,38,"Aber Worte allein reichen nicht, wir müssen es auch tun."
39,39,Jetzt ist die Zeit fürs Machen.
40,40,Reaktive Politik hat die letzten Jahre über versucht das Schlimmste zu verhindern.
41,41,"Aber es geht darum, das Beste zu ermöglichen."
42,42,"In kurzer Zeit eine klimaneutrale Gesellschaft zu werden, ist eine epochale Aufgabe mit inspirierender Kraft."
43,43,"Wir wollen einen Aufschwung schaffen, der über das rein Ökonomische hinausgeht."
44,44,"Einen Aufschwung, der das ganze gesellschaftliche Leben in seiner Stärke und Vielfalt erfasst: Bildung und Kultur, Arbeit und Digitalisierung, Wissenschaft und Innovation."
45,45,Dieses Programm ist dafür ein Anfang.
46,46,Es schlägt konkrete und ehrgeizige Projekte für politisches Handeln in einer Bundesregierung in den kommenden vier Jahren vor.
47,47,"Die Aufgaben sind groß, die Wider- 10 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  stände ebenfalls."
48,48,"Aber die letzten Jahre haben gezeigt, dass viele Menschen in der Gesellschaft der Politik weit voraus sind."
49,49,Lassen Sie uns also gemeinsam die politische Arbeit auf die Höhe der Zeit bringen.
50,50,"Wenn Sie, liebe Wähler*innen, uns das Mandat dafür erteilen und wir diese Projekte mit Ihnen Schritt für Schritt umsetzen dürfen, schaffen wir zusammen die Grundlagen für ein Jahrzehnt des mutigen Vorangehens, des Machens, des Gelingens."
51,51,Macht ist in einer Demokratie nur geliehen.
52,52,"Diese Leihgabe verpflichtet zu sauberer Politik – Einleitung zu einer Politik, die das Wohl der Bürger*innen über das persönliche Interesse stellt, die Rechenschaft ablegt und sich selbst Grenzen setzt."
53,53,In diesem Sinne werden wir handeln.
54,54,"Wir werden manch gute Tradition auf neue Weise zum Tragen bringen, manch Neues begründen, manch Gewohntes ablösen, aber wir schaffen Sicherheit im Übergang."
55,55,"Nach einer Ära der politischen Kurzfristigkeit bringen wir den langen Atem, den klaren Kompass und die Durchsetzungsfähigkeit mit, um unser Land – im Herzen Europas, der Welt zugewandt – in eine bessere Zukunft zu führen."
56,56,"Ja, zu führen."
57,57,"Erstmals in der Geschichte der Bundesrepublik kämpfen wir, BÜNDNIS 90/DIE GRÜNEN, um die politische Führung in diesem Land, inhaltlich und personell."
58,58,Wir stehen auf einem festen Wertefundament und sind tief verwurzelt in der Gesellschaft.
59,59,Wir haben ein klares Ziel für dieses Jahrzehnt vor Augen: klimagerechten Wohlstand.
60,60,"Wir sind gewachsen und gestärkt durchs Regieren in Kommunen, Ländern und im Bund."
61,61,"Mit Erfahrung und Kompetenz, mit Herz und Weitblick, mit Zuversicht und Leidenschaft, offen und lernfähig, so gehen wir in dieses Jahrzehnt."
62,62,Das ist unser Angebot und so werben wir um Mehrheiten für die kommenden vier Jahre.
63,63,"Wir laden Sie ein, mit uns diesen Weg zu gehen."
64,64,Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN 11  Kapitel 1: Lebensgrundlagen schützen Die Klimakrise ist die Existenzfrage unserer Zeit.
65,65,"Daher ist Klimaschutz keine Zukunftsaufgabe, sondern Klimaschutz ist jetzt."
66,66,"Wenn wir zu Beginn dieses Jahrzehnts konsequent handeln und die sozial-ökologische Transformation einläuten, können wir die Klimakatastrophe noch verhindern und zu einer klimagerechten Welt beitragen."
67,67,"Klima- Kapitel 1 neutralität ist dabei eine große Chance für höhere Lebensqualität, mehr soziale Gerechtigkeit und einen klimagerechten Wohlstand."
68,68,Sie gilt es zu ergreifen.
69,69,"Wir haben in den vergangenen Jahren mit Hitzesommern, Waldsterben, Überschwemmungen und Dürren die Klimakrise bereits zu spüren bekommen."
70,70,"Sie hat dramatische Konsequenzen bei uns und auf der ganzen Welt: etwa für die Gesundheit der Menschen – und es sind vor allem die mit den geringsten Einkommen und insbesondere die Menschen im globalen Süden, die den Preis dafür zahlen, dass der ökologische Fußabdruck der Reichsten am größten ist."
71,71,"Oder für die Bäuer*innen, denen zunehmend die Grundlage entzogen wird."
72,72,Und für den Zusammenhalt in unserer Gesellschaft.
73,73,"Alle diese Folgen werden sich vervielfachen, wenn wir jetzt nicht umsteuern."
74,74,"Je entschiedener wir handeln, desto mehr Freiheiten und Alternativen sichern wir für jetzige und künftige Generationen."
75,75,Wir werden deshalb konsequent den Weg zur Klimaneutralität gehen.
76,76,"Das verlangt Können, Mut und Machen."
77,77,Wir stellen in einer künftigen Regierung das Pariser Klimaabkommen in den Mittelpunkt und richten das Handeln aller Ministerien danach aus.
78,78,"Wir lenken all unsere Kraft darauf, Maßnahmen auf den Weg zu bringen, die uns auf den 1,5-Grad- Pfad führen."
79,79,Klimagerechtigkeit ist eine Frage des politischen Kanons.
80,80,"Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen."
81,81,Solch klare politische Ordnungsrahmen entlasten auch uns als Menschen im Alltag und schaffen Freiheit.
82,82,"Natürlich bedeutet Klimaneutralität Veränderung, aber diese Ver- änderung schafft Halt in der Zukunft."
83,83,"Denn sie bewahrt uns davor, 12 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  Kipppunkte zu überschreiten, und ermöglicht ein klimagerechtes, ein besseres Leben."
84,84,"Wir bringen deshalb Strom, Wärme, Verkehr und Industrie zusammen, beenden Energieverschwendung und sorgen so für eine effiziente Verzahnung dieser Bereiche."
85,85,"Statt auf Kohle, Öl und fossilem Gas wird das Energiesystem auf Sonnenund Windenergie basieren."
86,86,"Statt an fossilen Verbrennungsmotoren festzuhalten, schaffen wir eine neue Mobilität mit der Bahn, dem Rad, zu Fuß oder mit emissionsfreien Autos."
87,87,Statt Öl und Erdgas wärmt uns künftig die Kraft der Erneuerbaren.
88,88,"Die Zukunft wird damit leiser, sauberer, gesünder, günstiger und sozial gerechter."
89,89,Weniger Autos in der Stadt bedeuten mehr Platz für uns Menschen.
90,90,"Leisere Straßen und saubere Luft dienen besonders jenen, die sich nicht die Villa am ruhigen Stadtrand Kapitel 1 leisten können."
91,91,"Mehr Angebote an klimaund umweltfreundlichen Verkehrsmitteln, zum Beispiel Rufbussen oder Carsharing, erleichtern zu pendeln und befördern ein gutes Leben auf dem Land."
92,92,"Mit dieser großen Veränderung entstehen neue Geschäftsfelder, neue Industriezweige, neue Arbeitsplätze."
93,93,"Andere Bereiche werden sich wandeln, einige werden verschwinden."
94,94,"Für viele Menschen ist das auch eine große Herausforderung, ja Zumutung."
95,95,"Die sozial-ökologische Transformation gelingt nur, wenn wir gemeinsam alles dafür tun, Verluste zu verringern und Brücken zu bauen."
96,96,"So müssen diejenigen, die neue Chancen oder Weiterbildung brauchen, sie auch bekommen."
97,97,"Und es ist unsere Aufgabe, Sorge dafür zu tragen, dass die Kosten und Belastungen dieser Veränderung gerecht verteilt sind."
98,98,Klimagerechter Wohlstand bedeutet Ökologie und Soziales zusammenzudenken und den Übergang gut zu gestalten: für Menschen in der Stadt und auf dem Land.
99,99,Für die Handwerkerin wie für den Stahlarbeiter.
100,100,Der Verlust an intakter Natur und Umwelt ist ebenso dramatisch wie die Klimakrise und eine der größten Bedrohungen für ein gutes und gesundes Leben.
101,101,"Wenn wir unsere Lebensgrundlagen schützen wollen, wenn wir auch die zweite große ökologische Krise, das Artensterben, eindämmen wollen, dann bedarf es mehr als einer Kurskorrektur, dann brauchen wir einen neuen Kurs."
102,102,Wir machen die planetaren Grenzen zum Leitprinzip unserer Politik und tragen so auch zu mehr Umweltgerechtigkeit bei.
103,103,"Entsprechend verändern wir die Wirtschaftsweise, denn auf einem endlichen Planeten kann es kein unendliches Wachstum geben."
104,104,Wir setzen Prioritäten.
105,105,"Von jetzt an wird belohnt und gefördert, was Mensch und Tier, Klima und Natur Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN 13  schützt."
106,106,"Und was zerstörerisch wirkt, muss dafür auch die Kosten tragen und so schnell wie möglich überwunden werden."
107,107,"Indem wir den Schutz der Meere und Gewässer, des Klimas und der Böden, der Tiere und der Pflanzen zum Bestandteil unseres Wirtschaftsund Rechtssystems machen, kann es gelingen, die Stabilität der Ökosysteme und unserer Lebensgrundlagen zu gewährleisten."
108,108,Und damit auch unsere Grundlagen für ein gutes und friedliches Zusammenleben.
109,109,"Wir schaffen klimagerechten Wohlstand Mehr Lebensqualität durch Klimaneutralität Kapitel 1 Der Weg in die Klimaneutralität bietet riesige Chancen auf mehr Lebensqualität: Städte mit weniger Staus und Abgasen, mit Platz, um sicher Rad zu fahren und zu Fuß zu gehen, zu spielen und zu leben."
110,110,"Dörfer, die endlich angebunden sind an den öffentlichen Nahverkehr."
111,111,"Wälder, in denen auch unsere Kinder noch die Schönheit der Natur entdecken können."
112,112,"Gesundes Essen, hergestellt unter Wahrung von Tierrechten und Umweltschutz."
113,113,"Klimaschutz ist so viel mehr als reine Technik, er ist die Voraussetzung für ein gesundes Leben auf einer gesunden Erde."
114,114,"Die Energierevolution: erneuerbar heizen, wohnen, wirtschaften Klimaneutralität heißt: raus aus den fossilen Energien."
115,115,"Nicht nur der Strom, auch das Benzin in unseren Autos, das Kerosin im Flugzeugtank, das Schweröl im Schiff, das Öl für die Heizung und das Gas im Industriebetrieb müssen auf erneuerbare Energien umgestellt werden."
116,116,Das ist nichts weniger als eine Energierevolution.
117,117,"Dazu braucht es zuallererst eine massive Ausbauoffensive für die Erneuerbaren, die so schnell wie möglich umgesetzt wird."
118,118,Daran hängen die Zukunft unseres Industriestandortes und unsere Versorgungssicherheit.
119,119,"Der Ausbaupfad wird durch die Kraft und Kapazität von Industrie und Handwerker*innen beschränkt, darf aber nicht von den politischen Rahmenbedingungen begrenzt werden."
120,120,Daher beseitigen wir in einem kontinuierlichen Prozess bestehende Ausbauhemmnisse – naturverträglich und zugunsten der Bürger*innen.
121,121,"Unser Ziel ist ab sofort ein jährlicher Zubau von mindestens 5 bis 6 Gigawatt (GW) Wind an Land, 14 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  ab Mitte der 20er Jahre von 7 bis 8 GW, bei Wind auf See wollen wir 35 GW bis 2035."
122,122,Im Bereich Solarenergie werden wir den Ausbau von beginnend 10 bis 12 GW auf 18 bis 20 GW pro Jahr steigern ab Mitte der 20er.
123,123,"Mit einer umfassenden Steuerund Abgabenreform wollen wir dafür sorgen, dass die Sektorenkoppelung vorankommt und Strom zu verlässlichen und wettbewerbsfähigen Preisen vorhanden ist."
124,124,"Das Energiemarktdesign ändern wir, sodass erneuerbarer Strom nicht länger ausgebremst wird."
125,125,"Wir stellen Sonne und Wind ins Zentrum und ermöglichen es Industrie, Gewerbe und Handel, über flexibleren Verbrauch besonders viel zur Integration der Erneuerbaren beizutragen. Erzeugungsspitzen machen wir nach dem Prinzip „nutzen statt abschalten“ für Speicher und die Produktion von Wärme oder grünem Kapitel 1 Wasserstoff nutzbar."
126,126,Doppelte Belastungen und andere Bremsklötze schaffen wir ab.
127,127,Kritische Infrastrukturen sichern wir mit notstromfähigen Solaranlagen.
128,128,"Verteilnetze und Verbraucher*innen statten wir mit intelligenter Technik aus, damit sie flexibel reagieren können, wenn gerade viel erneuerbarer Strom produziert wird."
129,129,"Energieeffizienz – weniger ist mehr Auch in einer Welt der Erneuerbaren ist Energie ein wertvolles Gut, mit dem wir sparsam und effizient umgehen müssen."
130,130,"Das gilt umso mehr, solange wir noch Kohle, Öl und fossiles Gas verbrennen."
131,131,"Unser Ziel sind Gebäude, die gut gedämmt sind, verbrauchsarme Autos, auch wenn sie elektrisch betrieben werden, effiziente Gewerbeund Industrieprozesse sowie Weitergabe und Nutzung von Abwärme."
132,132,Dafür machen wir klare ordnungsrechtliche Vorgaben.
133,133,"Strompreisvergünstigungen für Unternehmen, die im internationalen Wettbewerb stehen, sollen an die Umsetzung von Energieeffizienzmaßnahmen geknüpft werden."
134,134,"Denn je weniger Energie benötigt wird, desto schneller schaffen wir 100 Prozent Erneuerbare, erreichen die Klimaziele und sparen Kosten für Energieinfrastruktur."
135,135,Klimaschutz lohnt sich.
136,136,Ein Ordnungsrahmen für eine sozial-ökologische Marktwirtschaft Wir müssen unsere Wirtschaft auf Klimaneutralität und die planetaren Grenzen ausrichten und eine Kreislaufwirtschaft etablieren.
137,137,Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN 15  Den wirtschaftlichen Aufbruch nach der Corona-Krise und die ökologische Modernisierung wollen wir zusammenbringen.
138,138,Dazu braucht es eine sozial- ökologische Neubegründung unserer Marktwirtschaft.
139,139,"Wir wollen mit ehrgeizigen Vorgaben in Form von Grenzwerten, CO2- Reduktionszielen und Produktstandards der deutschen und europäischen Wirtschaft Planungssicherheit geben und Impulse für neue Investitionen setzen."
140,140,"Faire Preise sorgen dafür, dass sich klimagerechtes Handeln lohnt."
141,141,Forschung und Innovationen für klimagerechtes Wirtschaften wollen wir stärker fördern.
142,142,Die öffentliche Beschaffung richten wir konsequent auf die ressourcenschonendsten und sozial verträglichsten Produkte und Dienstleistungen aus.
143,143,So machen wir unsere Wirtschaft zur Spitzenreiterin bei den modernsten Technolo- Kapitel 1 gien und schützen unsere natürlichen Lebensgrundlagen.
144,144,"Grüne Digitalisierung Ob vernetzte Fahrzeuge, effiziente Industrie, punktgenaue Verteilung regenerativer Energie oder intelligente Bewässerung auf Feldern: Mit digitalen und datengetriebenen Innovationen können wir den Energieund Ressourcenverbrauch besser reduzieren und bei Zukunftstechnologien führend werden."
145,145,"Hierzu fördern und priorisieren wir digitale Anwendungen und Lösungen, die einen Beitrag zur Ressourcenschonung leisten oder nachhaltiger sind als analoge."
146,146,"Rebound-Effekte gilt es generell zu vermeiden, Suffizienz zu unterstützen."
147,147,Wir fördern Alternativen zu kritischen Rohstoffen wie seltene Erden und deren menschenrechtskonforme Gewinnung.
148,148,"Ausschreibungsund Beschaffungskriterien sind so anzupassen, dass möglichst sozial-ökologisch nachhaltige Technologien vorrangig zum Einsatz kommen."
149,149,"Bei IT- Beschaffungen des Bundes müssen Faktoren wie Herstellerabhängigkeit, Folgebeschaffung, technische Offenheit, Sicherheit, Datenschutz, Reparaturfähigkeit, Nachhaltigkeit und soziale Kriterien zwingend in die Bewertungen einfließen und Zertifizierungen wie der Blaue Engel für IT-Produkte zum Standard werden."
150,150,"Wir wollen alle Rechenund Datencenter des Bundes nachhaltig umstellen, mit erneuerbarer Energie betreiben und zertifizierte umweltfreundliche Hardware einsetzen."
151,151,"Zugleich gilt es, Anreize zu schaffen, um den Stromverbrauch von Rechenzentren zu reduzieren, einschließlich Umstellung auf Wasserkühlungssysteme, und CO2-neutrale Rechenzentren zu fördern."
152,152,"16 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  Neue Arbeitsplätze mit guten Bedingungen Eine ambitionierte Klimaschutzpolitik und der klimaneutrale Umbau der Wirtschaft sind die beste Chance, bestehende Arbeitsplätze in Deutschland und anderen Ländern zu erhalten und neue zu schaffen."
153,153,Die sozial-ökologische Modernisierung stärkt die Wettbewerbsfähigkeit der hiesigen Unternehmen und kann zu einer Renaissance von Industriearbeitsplätzen führen.
154,154,Auf dem Weg zur Klimaneutralität werden in den kommenden Jahren hunderttausende neue Jobs entstehen – Green Jobs.
155,155,"Sie entstehen im Handwerk und in der Bauwirtschaft, in neuen Industriebereichen und der Kreislaufwirtschaft, in der Batteriezellenproduktion und der Wasserstoffindustrie sowie Kapitel 1 in neuen Dienstleistungsfeldern."
156,156,"Wir wollen, dass die neuen Jobs nach Möglichkeit einem Tarifvertrag oder mindestens gleichwertigen Bedingungen unterliegen."
157,157,Darauf werden wir auch bei der Förderung von neuen Wirtschaftsfeldern achten.
158,158,"Sicher im Wandel mit einem Qualifizierungs-Kurzarbeitergeld Wir sehen es als unsere Verpflichtung, Unternehmen und ihre Beschäftigten auf dem Weg hin zu einem klimaneutralen Wirtschaftssystem zu unterstützen."
159,159,"Gerade auch dort, wo sich Jobprofile grundlegend verändern oder Arbeitsplätze verloren gehen."
160,160,Es braucht in der ökologischen Transformation ein noch viel besseres Angebot an Weiterbildung und Qualifizierung.
161,161,Dazu wollen wir ein Recht auf Weiterbildung einführen und mit einem Weiterbildungsgeld auch für Erwerbstätige in Qualifizierungsphasen eine soziale Absicherung schaffen.
162,162,"Mit einem neuen Qualifizierungs-Kurzarbeitergeld ermöglichen wir Unternehmen, in Phasen der Transformation ihre Beschäftigten im Betrieb zu halten und nachhaltig zu qualifizieren."
163,163,Die Qualifizierungs-Kurzarbeit koppeln wir eng an die Sozialpartnerschaft.
164,164,Zudem wollen wir die betriebliche Mitbestimmung bei Entscheidungen über die ökologische Transformation stärken.
165,165,"Unternehmen, Gewerkschaften und Betriebsräte wissen gemeinsam am besten, wie die Transformation zu gestalten ist."
166,166,Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN 17  Transformationsfonds für die Regionen Die ökologische Modernisierung ist gerade für viele industriell geprägte Regionen eine große Herausforderung.
167,167,"Um Regionen und insbesondere die dort ansässigen kleinen und mittleren Unternehmen zu unterstützen, wollen wir regionale Transformationsfonds auflegen."
168,168,"Die Förderung richtet sich an Unternehmen, die aus eigener Kraft den ökologischen Strukturwandel nicht bewältigen können, mit ihrem Standort aber fest in der Region verankert sind und dort bleiben wollen."
169,169,"Regionale Akteur*innen aus Wissenschaft, Politik, Wirtschaft und Gewerkschaften sollen eingebunden werden und gemeinsame Visionen erarbeiten, wo die Region sozial und wirtschaftlich in Kapitel 1 Zukunft stehen sollte."
170,170,"Gleichzeitig wollen wir neue Formate wie Reallabore und Experimentierräume fördern, in denen Zivilgesellschaft, Wissenschaft, Wirtschaft und Kommunen gemeinsam an Lösungen für Herausforderungen vor Ort arbeiten und forschen."
171,171,"Klimaschutz-Sofortprogramm auflegen Zentrale Grundlagen unserer Politik sind das Klimaabkommen von Paris sowie der Bericht des Weltklimarates zum 1,5-Grad-Limit, der verdeutlicht, dass jedes Zehntelgrad zählt, um das Überschreiten von relevanten Kipppunkten im Klimasystem zu verhindern."
172,172,"Es ist daher notwendig, auf den 1,5-Grad-Pfad zu kommen."
173,173,Dafür ist unmittelbares und substanzielles Handeln in den nächsten Jahren entscheidend.
174,174,"Doch aktuell lahmt der Ausbau der erneuerbaren Energien, der Kohleausstieg kommt zu spät, im Verkehrsund Gebäudesektor geht es kaum voran."
175,175,"Gemäß der Klimaentscheidung des Bundesverfassungsgerichts, die auch auf den Sachverständigenrat für Umweltfragen verweist, müssen wir unsere Klimapolitik am Budgetansatz orientieren."
176,176,"Der Weltklimarat beziffert das globale CO2-Budget ab dem Jahr 2018 für das 1,5-Grad-Ziel mit einer 67-prozentigen Wahrscheinlichkeit der Zielerreichung auf 420 Gigatonnen CO2."
177,177,"Der Sachverständigenrat hat daraus ein verbleibendes nationales Kohlenstoffbudget von 6,6 Gigatonnen CO2 ab 2020 abgeleitet."
178,178,"Bei fortdauernden Emissionen auf heutigem Niveau wäre das deutsche CO2-Budget in weniger als neun Jahren verbraucht, bei einer linearen Reduktion rund um 2035."
179,179,Ein längerer Zeitverlauf zur Treibhausgasneutralität erfordert über- 18 Bundestagswahlprogramm 2021 BÜNDNIS 90 / DIE GRÜNEN  proportionale Reduktionserfolge in den nächsten Jahren.
180,180,"Deswegen werden wir ein Klimaschutz-Sofortprogramm auf den Weg bringen, das in allen Sektoren sofort wirksame Maßnahmen anstößt, bestehende Ausbauhindernisse beseitigt, naheliegende Einsparmöglichkeiten umsetzt und auch die Klima-und Entwicklungspartnerschaften im Sinne des globalen Budgetansatzes stärkt."
181,181,"Wir werden das noch immer ungenügende Klimaschutzgesetz generationenund budgetgerecht nachschärfen, jahresund sektorenscharf ausbuchstabieren, die Rolle des Expertenrates für Klimafragen stärken und das deutsche Klimaziel 2030 auf mindestens minus 70 Prozent anheben."
182,182,"Unser Ziel ist es, 100 Prozent erneuerbare Energien bis 2035 zu erreichen."
183,183,So kann Deutschland in 20 Jahren klimaneutral werden.
184,184,Kapitel 1 Klimagerechtes Wirtschaften belohnen Effektiver und sozial gerechter Klimaschutz muss sich auch ökonomisch lohnen.
